stimulus_id,base_id,onset,medial,nucleus,coda,ipa,pinyin,pinyin_number,ascii,tone,is_attested,is_rare,rarity,source_row,original_line_number
bang3,bang,p,,a,ŋ,paŋ,bǎng,bang3,bang,3,unknown,False,common,47,55
bang4,bang,p,,a,ŋ,paŋ,bàng,bang4,bang,4,unknown,False,common,47,55
bang5,bang,p,,a,ŋ,paŋ,bang,bang5,bang,5,unknown,False,common,47,55
bie1,bie,p,j,ə,,pjɛ,biē,bie1,bie,1,unknown,False,common,48,57
bie2,bie,p,j,ə,,pjɛ,bié,bie2,bie,2,unknown,False,common,48,57
bie3,bie,p,j,ə,,pjɛ,biě,bie3,bie,3,unknown,False,common,48,57
bie4,bie,p,j,ə,,pjɛ,biè,bie4,bie,4,unknown,False,common,48,57
bie5,bie,p,j,ə,,pjɛ,bie,bie5,bie,5,unknown,False,common,48,57
biao1,biao,p,j,a,u,pjau,biāo,biao1,biao,1,unknown,False,common,49,60
biao2,biao,p,j,a,u,pjau,biáo,biao2,biao,2,unknown,False,common,49,60
biao3,biao,p,j,a,u,pjau,biǎo,biao3,biao,3,unknown,False,common,49,60
biao4,biao,p,j,a,u,pjau,biào,biao4,biao,4,unknown,False,common,49,60
biao5,biao,p,j,a,u,pjau,biao,biao5,biao,5,unknown,False,common,49,60
bian1,bian,p,j,a,n,pjɛn,biān,bian1,bian,1,unknown,False,common,50,61
bian2,bian,p,j,a,n,pjɛn,bián,bian2,bian,2,unknown,False,common,50,61
bian3,bian,p,j,a,n,pjɛn,biǎn,bian3,bian,3,unknown,False,common,50,61
bian4,bian,p,j,a,n,pjɛn,biàn,bian4,bian,4,unknown,False,common,50,61
bian5,bian,p,j,a,n,pjɛn,bian,bian5,bian,5,unknown,False,common,50,61
biang1,biang,p,j,a,ŋ,pjaŋ,biāng,biang1,biang,1,unknown,False,common,51,62
biang2,biang,p,j,a,ŋ,pjaŋ,biáng,biang2,biang,2,unknown,False,common,51,62
biang3,biang,p,j,a,ŋ,pjaŋ,biǎng,biang3,biang,3,unknown,False,common,51,62
biang4,biang,p,j,a,ŋ,pjaŋ,biàng,biang4,biang,4,unknown,False,common,51,62
biang5,biang,p,j,a,ŋ,pjaŋ,biang,biang5,biang,5,unknown,False,common,51,62
pi1,pi,pʰ,,i,,pʰi,pī,pi1,pi,1,unknown,False,common,52,74
pi2,pi,pʰ,,i,,pʰi,pí,pi2,pi,2,unknown,False,common,52,74
pi3,pi,pʰ,,i,,pʰi,pǐ,pi3,pi,3,unknown,False,common,52,74
